CNV_Value	N	Average Length	Min Length	Max Length
0	87373	26476	1000	952500
1	65218	13572	1000	932400
2	18187	26602	1000	992600
3	34665	14757	1000	965900
4	11585	24219	1000	468500
5	4912	28982	1000	902000
6	2691	24729	1000	446600
7	1492	21465	1100	351200
8	894	23351	1100	156600
9	711	25082	1100	89400
10	428	23193	1300	80000
11	364	20359	1200	72200
12	251	16811	1600	111200
13	105	14910	1200	62400
14	62	16374	1200	52000
15	34	13538	1500	49500
16	30	10720	1500	49400
17	22	13768	2600	41200
18	18	8700	2600	50500
19	13	7754	1300	31900
20	7	4000	2600	4600
21	12	4308	2500	11400
22	11	4518	1300	11300
23	1	5500	5500	5500
24	5	4380	2600	5600
25	3	4567	2600	8100
26	3	3900	2600	4600
27	6	4133	2700	5600
28	4	4150	2600	4900
29	7	4057	2900	4600
30	15	4187	1300	5100
31	5	4800	4500	5300
32	7	4614	4500	5100
33	7	4400	2900	4900
34	13	4385	2900	5400
35	14	4536	2900	6900
36	6	4367	2900	5000
37	4	4550	4400	4700
38	9	4500	2900	5800
39	10	3920	1300	4600
40	7	4129	2700	4900
41	8	4450	2900	4900
42	5	4300	2900	4900
43	11	4382	2900	5000
44	10	3850	2600	4600
45	9	4022	2900	4600
46	4	4225	2900	4900
47	5	3940	2900	4900
48	6	4017	2900	4600
49	7	3614	2900	4600
50	7	3386	2900	4600
51	5	4240	2800	4800
52	1	4600	4600	4600
53	4	3875	2900	5100
54	5	3640	2900	4900
55	5	4340	2900	5000
56	3	4100	2900	4900
57	1	2900	2900	2900
58	3	4667	4600	4800
59	3	2933	2900	3000
60	2	3750	2900	4600
62	4	3800	2900	4800
63	1	2900	2900	2900
64	3	4033	2900	4600
66	2	2900	2900	2900
67	4	2900	2900	2900
68	2	4600	4600	4600
70	1	4800	4800	4800
71	1	4600	4600	4600
72	2	2900	2900	2900
74	2	3750	2900	4600
78	1	4600	4600	4600
80	1	4600	4600	4600
81	1	3000	3000	3000
97	1	2900	2900	2900
